document id	subject	predicate	predicate lemmatized	object	confidence	sentence
30180121	microbiological responses as well as toxicities	 were not investigated	  be not investigate	in this study	0.66	Clinical and microbiological responses as well as toxicities were not investigated in this study .
30180121	Clinical responses as well as toxicities	 were not investigated	  be not investigate	in this study	0.20	Clinical and microbiological responses as well as toxicities were not investigated in this study .
30190001	ceftazidime	 are commonly used	  be commonly use	broad spectrum beta-lactam antibiotics in intensive care units	0.74	Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units .
30190001	Meropenem	 are commonly used	  be commonly use	broad spectrum beta-lactam antibiotics in intensive care units	0.67	Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units .
30190001	piperacillin	 are commonly used	  be commonly use	broad spectrum beta-lactam antibiotics in intensive care units	0.61	Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units .
30190002	The beta-lactam antibiotics meropenem	 are used	  be use	in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity	0.76	The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity .
30190002	The beta-lactam antibiotics ceftazidime	 are used	  be use	in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity	0.71	The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity .
30190002	The beta-lactam antibiotics piperacillin	 are used	  be use	in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity	0.54	The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity .
30190011	To improve the therapeutic outcome of the antimicrobial therapy of critically ill patients therapeutic drug monitoring	 is recommended	  be recommend		0.93	To improve the therapeutic outcome of the antimicrobial therapy of critically ill patients therapeutic drug monitoring is recommended .
30190012	the establishment of therapeutic drug monitoring	 is recommended	  be recommend	to improve therapeutic outcome	0.97	Due to strong inter- and intraindividual variations in pharmacokinetics , the establishment of therapeutic drug monitoring is recommended to improve therapeutic outcome .
30190012	the establishment of therapeutic drug monitoring	 to improve	  to improve	therapeutic outcome	0.95	Due to strong inter- and intraindividual variations in pharmacokinetics , the establishment of therapeutic drug monitoring is recommended to improve therapeutic outcome .
30190021	an analytical method	 measuring	  measure	fluctuating serum levels during therapy	0.96	Therefore an analytical method was established measuring fluctuating serum levels during therapy .
30190021	an analytical method	 was established	  be establish	measuring fluctuating serum levels during therapy	0.95	Therefore an analytical method was established measuring fluctuating serum levels during therapy .
30190022	an analytical HPLC method	 is described	  be describe	In the following	0.99	In the following , an analytical HPLC method is described , with the help of which the serum concentrations of the three beta-lactams in the therapy-relevant range of 2.5 µg/ml ( piperacillin : 6 µg/ml ) to 200 µg/ml can be determined quickly and reliably .
30190022	which the serum concentrations of the three beta-lactams in the therapy-relevant range of 2.5 µg/ml ( piperacillin : 6 µg/ml ) to 200 µg/ml	 can be determined quickly	  can be determine quickly		0.79	In the following , an analytical HPLC method is described , with the help of which the serum concentrations of the three beta-lactams in the therapy-relevant range of 2.5 µg/ml ( piperacillin : 6 µg/ml ) to 200 µg/ml can be determined quickly and reliably .
30190022	an analytical HPLC method	 is described	  be describe	In the following	0.99	In the following , an analytical HPLC method is described , with the help of which the serum concentrations of the three beta-lactams in the therapy-relevant range of 2.5 µg/ml ( piperacillin : 6 µg/ml ) to 200 µg/ml can be determined quickly and reliably .
30190022	which the serum concentrations of the three beta-lactams in the therapy-relevant range of 2.5 µg/ml ( piperacillin : 6 µg/ml ) to 200 µg/ml	 can be determined reliably	  can be determine reliably		0.59	In the following , an analytical HPLC method is described , with the help of which the serum concentrations of the three beta-lactams in the therapy-relevant range of 2.5 µg/ml ( piperacillin : 6 µg/ml ) to 200 µg/ml can be determined quickly and reliably .
30190031	A sensitive high-performance liquid chromatography ( HPLC ) method with diode array detection	 was developed	  be develope	for simultaneous quantification of these antimicrobial agents	0.60	A simple and sensitive high-performance liquid chromatography ( HPLC ) method with diode array detection ( DAD ) was developed and validated for simultaneous quantification of these antimicrobial agents .
30190031	A sensitive high-performance liquid chromatography ( HPLC ) method with diode array detection	 was validated	  be validate	for simultaneous quantification of these antimicrobial agents	0.56	A simple and sensitive high-performance liquid chromatography ( HPLC ) method with diode array detection ( DAD ) was developed and validated for simultaneous quantification of these antimicrobial agents .
30190031	A simple high-performance liquid chromatography ( HPLC ) method with diode array detection	 was developed	  be develope	for simultaneous quantification of these antimicrobial agents	0.55	A simple and sensitive high-performance liquid chromatography ( HPLC ) method with diode array detection ( DAD ) was developed and validated for simultaneous quantification of these antimicrobial agents .
30190031	A simple high-performance liquid chromatography ( HPLC ) method with diode array detection	 was validated	  be validate	for simultaneous quantification of these antimicrobial agents	0.51	A simple and sensitive high-performance liquid chromatography ( HPLC ) method with diode array detection ( DAD ) was developed and validated for simultaneous quantification of these antimicrobial agents .
30190032	The serum levels determined	 can be used	  can be use	as a valid basis for further therapy decisions then	0.98	The serum levels determined can then be used as a valid basis for further therapy decisions .
30190032	The serum levels	 determined	  determine		0.90	The serum levels determined can then be used as a valid basis for further therapy decisions .
30190041	a sample amount of 250 µl serum	 was spiked	  be spike	with cefotaxime as an internal standard For sample preparation	0.99	For sample preparation a sample amount of 250 µl serum was spiked with cefotaxime as an internal standard .
30190051	protein	 was precipitated	  be precipitate	Afterwards	0.94	Afterwards protein was precipitated using acetonitrile/methanol ( 1:1 ) .
30190061	The supernatant	 was transferred	  be transfer	to HPLC	1.00	The supernatant was transferred to HPLC .
30190071	A Merck LiChrospher® 100 RP-18 ( 5 µm ) x 125 mm analytical column with a pH 2.2 phosphoric acid solution	 was used	  be use	for separation	0.80	A Merck LiChrospher® 100 RP-18 ( 5 µm ) x 125 mm analytical column with a gradient of acetonitrile and a pH 2.2 phosphoric acid solution was used for separation .
30190071	A Merck LiChrospher® 100 RP-18 ( 5 µm ) x 125 mm analytical column with a gradient of acetonitrile	 was used	  be use	for separation	0.74	A Merck LiChrospher® 100 RP-18 ( 5 µm ) x 125 mm analytical column with a gradient of acetonitrile and a pH 2.2 phosphoric acid solution was used for separation .
30190081	Peaks of interest	 were detected respectively	  be detect respectively	at 240 nm	0.34	Peaks of interest were detected via ultraviolet absorbance at 240 , 298 and 310 nm respectively .
30190081	Peaks of interest	 were detected respectively	  be detect respectively	at 310 nm	0.26	Peaks of interest were detected via ultraviolet absorbance at 240 , 298 and 310 nm respectively .
30190081	Peaks of interest	 were detected respectively	  be detect respectively	at 298 nm	0.16	Peaks of interest were detected via ultraviolet absorbance at 240 , 298 and 310 nm respectively .
30190091	The method	 developed	  develope		0.89	The method developed shows a linear correlation between concentration and response over a concentration range of 2.5 ( piperacillin : 6 ) to 200 µg/ml for each antibiotic in the serum samples .
30190091	The method developed	 shows	  show	a linear correlation between concentration and response over a concentration range of 2.5 ( piperacillin : 6 ) to 200 µg/ml	0.80	The method developed shows a linear correlation between concentration and response over a concentration range of 2.5 ( piperacillin : 6 ) to 200 µg/ml for each antibiotic in the serum samples .
30190101	the method	 to be too	  to be too	accurate	0.61	Validation has demonstrated the method to be accurate and precise too .
30190101	Validation	 has demonstrated	  have demonstrate	the method to be accurate too	0.44	Validation has demonstrated the method to be accurate and precise too .
30190101	Validation	 has demonstrated	  have demonstrate	the method to be precise too	0.36	Validation has demonstrated the method to be accurate and precise too .
30190101	the method	 to be too	  to be too	precise	0.30	Validation has demonstrated the method to be accurate and precise too .
30190111	No interferences with other common drugs except metamizole	 were detected	  be detect		0.65	No interferences with other common drugs except metamizole ( dipyrone ) and ceftazidime were detected .
30190111	No interferences with other common drugs except ceftazidime	 were detected	  be detect		0.42	No interferences with other common drugs except metamizole ( dipyrone ) and ceftazidime were detected .
30190121	The method	 is used	  be use	in the pharmacy department of the German Army Hospital in Berlin for therapeutic drug monitoring ( TDM ) of beta-lactams in critically ill patients currently	1.00	The method is currently used in the pharmacy department of the German Army Hospital in Berlin for therapeutic drug monitoring ( TDM ) of beta-lactams in critically ill patients .
30200001	The frequency of bacterial infections	 is increasing	  be increase	worldwide due to the development of antibiotic resistance among pathogens	0.94	The frequency of bacterial infections for which antibiotics no longer work is increasing worldwide due to the development of antibiotic resistance among pathogens .
30200002	The frequency of bacterial infections	 is increasing	  be increase	worldwide due to the development of resistance in pathogens	0.96	The frequency of bacterial infections for which antibiotics are no longer effective is increasing worldwide due to the development of resistance in pathogens .
30200002	bacterial infections	 are	  be	antibiotics no longer effective	0.47	The frequency of bacterial infections for which antibiotics are no longer effective is increasing worldwide due to the development of resistance in pathogens .
30200011	Research topics , in order	 include	  include	the development of new antibiotics	0.88	Research topics , in order to counter this threat , include the development of new antibiotics , the reactivation of existing antibacterial agents and the finding of resistance-modifying properties of natural substances .
30200011	Research topics , in order	 include	  include	the finding of resistance-modifying properties of natural substances	0.62	Research topics , in order to counter this threat , include the development of new antibiotics , the reactivation of existing antibacterial agents and the finding of resistance-modifying properties of natural substances .
30200011	Research topics , in order	 include	  include	the reactivation of existing antibacterial agents	0.44	Research topics , in order to counter this threat , include the development of new antibiotics , the reactivation of existing antibacterial agents and the finding of resistance-modifying properties of natural substances .
30200012	research	 is being conducted	  be be conduct	To counter this threat in addition to the development of new antibiotics and the reactivation of existing antibacterial agents - into the resistance-modifying properties of natural products	0.75	To counter this threat , research is being conducted - in addition to the development of new antibiotics and the reactivation of existing antibacterial agents - into the resistance-modifying properties of natural products .
30200021	the checkerboard microdilution method	 was used	  be use	to investigate how the essential oils from cloves ( Syzygium aromaticum ) combined with lysozyme amplify the effects of a carbapenem- ( imipenem ) against the bacterial pathogens In the present work	0.76	In the present work , the checkerboard microdilution method was used to investigate how the essential oils from cloves ( Syzygium aromaticum ) and cinnamon ( Cinnamomum verum ) combined with lysozyme amplify the effects of a carbapenem- ( imipenem ) and an aminoglycoside-antibiotic ( gentamicin ) against the bacterial pathogens Pseudomonas aeruginosa and Klebsiella pneumoniae .
30200021	the checkerboard microdilution method	 was used	  be use	to investigate how the essential oils from cinnamon ( Cinnamomum verum ) combined with lysozyme amplify the effects of a carbapenem- ( imipenem ) against the bacterial pathogens In the present work	0.73	In the present work , the checkerboard microdilution method was used to investigate how the essential oils from cloves ( Syzygium aromaticum ) and cinnamon ( Cinnamomum verum ) combined with lysozyme amplify the effects of a carbapenem- ( imipenem ) and an aminoglycoside-antibiotic ( gentamicin ) against the bacterial pathogens Pseudomonas aeruginosa and Klebsiella pneumoniae .
30200021	the checkerboard microdilution method	 to investigate	  to investigate	how the essential oils from cloves ( Syzygium aromaticum ) combined with lysozyme amplify the effects of a carbapenem- ( imipenem ) against the bacterial pathogens pneumoniae	0.68	In the present work , the checkerboard microdilution method was used to investigate how the essential oils from cloves ( Syzygium aromaticum ) and cinnamon ( Cinnamomum verum ) combined with lysozyme amplify the effects of a carbapenem- ( imipenem ) and an aminoglycoside-antibiotic ( gentamicin ) against the bacterial pathogens Pseudomonas aeruginosa and Klebsiella pneumoniae .
30200021	the checkerboard microdilution method	 was used	  be use	to investigate how the essential oils from cloves ( Syzygium aromaticum ) combined with lysozyme amplify the effects of a carbapenem- ( imipenem ) against the bacterial pathogens Klebsiella pneumoniae In the present work	0.67	In the present work , the checkerboard microdilution method was used to investigate how the essential oils from cloves ( Syzygium aromaticum ) and cinnamon ( Cinnamomum verum ) combined with lysozyme amplify the effects of a carbapenem- ( imipenem ) and an aminoglycoside-antibiotic ( gentamicin ) against the bacterial pathogens Pseudomonas aeruginosa and Klebsiella pneumoniae .
30200021	the checkerboard microdilution method	 was used	  be use	to investigate how the essential oils from cloves ( Syzygium aromaticum ) combined with lysozyme amplify the effects of an aminoglycoside-antibiotic ( gentamicin ) against the bacterial pathogens In the present work	0.65	In the present work , the checkerboard microdilution method was used to investigate how the essential oils from cloves ( Syzygium aromaticum ) and cinnamon ( Cinnamomum verum ) combined with lysozyme amplify the effects of a carbapenem- ( imipenem ) and an aminoglycoside-antibiotic ( gentamicin ) against the bacterial pathogens Pseudomonas aeruginosa and Klebsiella pneumoniae .
30200022	the checkerboard microdilution method	 was used	  be use	to investigate how the essential oils from cloves ( Syzygium aromaticum ) combined with lysozyme enhance the effects of antibiotics from the carbapenems ( imipenem ) groups against the bacterial pathogens , respectively In the present work	0.73	In the present work , the checkerboard microdilution method was used to investigate how the essential oils from cloves ( Syzygium aromaticum ) and the bark of the cinnamon tree ( Cinnamomum verum ) combined with lysozyme enhance the effects of antibiotics from the carbapenems ( imipenem ) and aminoglycosides ( gentamicin ) groups against the bacterial pathogens Pseudomonas aeruginosa and Klebsiella pneumoniae , respectively .
30200022	the checkerboard microdilution method	 was used	  be use	to investigate how the essential oils from the bark of the cinnamon tree ( Cinnamomum verum ) combined with lysozyme enhance the effects of antibiotics from the carbapenems ( imipenem ) groups against the bacterial pathogens In the present work	0.72	In the present work , the checkerboard microdilution method was used to investigate how the essential oils from cloves ( Syzygium aromaticum ) and the bark of the cinnamon tree ( Cinnamomum verum ) combined with lysozyme enhance the effects of antibiotics from the carbapenems ( imipenem ) and aminoglycosides ( gentamicin ) groups against the bacterial pathogens Pseudomonas aeruginosa and Klebsiella pneumoniae , respectively .
30200022	the checkerboard microdilution method	 was used	  be use	to investigate how the essential oils from cloves ( Syzygium aromaticum ) combined with lysozyme enhance the effects of antibiotics from the carbapenems ( imipenem ) groups against the bacterial pathogens respectively In the present work	0.70	In the present work , the checkerboard microdilution method was used to investigate how the essential oils from cloves ( Syzygium aromaticum ) and the bark of the cinnamon tree ( Cinnamomum verum ) combined with lysozyme enhance the effects of antibiotics from the carbapenems ( imipenem ) and aminoglycosides ( gentamicin ) groups against the bacterial pathogens Pseudomonas aeruginosa and Klebsiella pneumoniae , respectively .
30200022	the checkerboard microdilution method	 to investigate	  to investigate	how the essential oils from the bark of the cinnamon tree ( Cinnamomum verum ) combined with lysozyme enhance the effects of antibiotics from the carbapenems ( imipenem ) groups against the bacterial pathogens	0.68	In the present work , the checkerboard microdilution method was used to investigate how the essential oils from cloves ( Syzygium aromaticum ) and the bark of the cinnamon tree ( Cinnamomum verum ) combined with lysozyme enhance the effects of antibiotics from the carbapenems ( imipenem ) and aminoglycosides ( gentamicin ) groups against the bacterial pathogens Pseudomonas aeruginosa and Klebsiella pneumoniae , respectively .
30200022	the checkerboard microdilution method	 was used	  be use	to investigate how the essential oils from the bark of the cinnamon tree ( Cinnamomum verum ) combined with lysozyme enhance the effects of antibiotics from the carbapenems ( imipenem ) groups against the bacterial pathogens , respectively In the present work	0.68	In the present work , the checkerboard microdilution method was used to investigate how the essential oils from cloves ( Syzygium aromaticum ) and the bark of the cinnamon tree ( Cinnamomum verum ) combined with lysozyme enhance the effects of antibiotics from the carbapenems ( imipenem ) and aminoglycosides ( gentamicin ) groups against the bacterial pathogens Pseudomonas aeruginosa and Klebsiella pneumoniae , respectively .
30200031	the essential oils of both plant species	 reduce	  reduce	the minimum inhibitory concentrations of imipenem against multi-drug resistant clinical isolates of the two gram-negative bacterial species	0.90	The results indicate that the essential oils of both plant species reduce the minimum inhibitory concentrations of gentamicin and imipenem against multi-drug resistant clinical isolates of the two gram-negative bacterial species and thus significantly increase the antibiotic effects .
30200031	The results	 indicate	  indicate	that the essential oils of both plant species reduce the minimum inhibitory concentrations of imipenem against multi-drug resistant clinical isolates of the two gram-negative bacterial species	0.88	The results indicate that the essential oils of both plant species reduce the minimum inhibitory concentrations of gentamicin and imipenem against multi-drug resistant clinical isolates of the two gram-negative bacterial species and thus significantly increase the antibiotic effects .
30200031	the essential oils of both plant species	 significantly increase	  significantly increase	the antibiotic effects	0.78	The results indicate that the essential oils of both plant species reduce the minimum inhibitory concentrations of gentamicin and imipenem against multi-drug resistant clinical isolates of the two gram-negative bacterial species and thus significantly increase the antibiotic effects .
30200031	The results	 indicate	  indicate	that the essential oils of both plant species reduce the minimum inhibitory concentrations of gentamicin against multi-drug resistant clinical isolates of the two gram-negative bacterial species	0.69	The results indicate that the essential oils of both plant species reduce the minimum inhibitory concentrations of gentamicin and imipenem against multi-drug resistant clinical isolates of the two gram-negative bacterial species and thus significantly increase the antibiotic effects .
30200031	the essential oils of both plant species	 reduce	  reduce	the minimum inhibitory concentrations of gentamicin against multi-drug resistant clinical isolates of the two gram-negative bacterial species	0.69	The results indicate that the essential oils of both plant species reduce the minimum inhibitory concentrations of gentamicin and imipenem against multi-drug resistant clinical isolates of the two gram-negative bacterial species and thus significantly increase the antibiotic effects .
30200032	The results	 show	  show	that the essential oils of both plant species decrease the minimum inhibitory concentrations of imipenem against multidrug-resistant clinical isolates of the two Gram-negative bacterial species	0.91	The results show that the essential oils of both plant species decrease the minimum inhibitory concentrations of gentamicin and imipenem against multidrug-resistant clinical isolates of the two Gram-negative bacterial species , thereby significantly enhancing antibiotic efficacy .
30200032	the essential oils of both plant species	 decrease	  decrease	the minimum inhibitory concentrations of imipenem against multidrug-resistant clinical isolates of the two Gram-negative bacterial species	0.91	The results show that the essential oils of both plant species decrease the minimum inhibitory concentrations of gentamicin and imipenem against multidrug-resistant clinical isolates of the two Gram-negative bacterial species , thereby significantly enhancing antibiotic efficacy .
30200032	the essential oils of both plant species	 significantly enhancing	  significantly enhance	antibiotic efficacy	0.74	The results show that the essential oils of both plant species decrease the minimum inhibitory concentrations of gentamicin and imipenem against multidrug-resistant clinical isolates of the two Gram-negative bacterial species , thereby significantly enhancing antibiotic efficacy .
30200032	The results	 show	  show	that the essential oils of both plant species decrease the minimum inhibitory concentrations of gentamicin against multidrug-resistant clinical isolates of the two Gram-negative bacterial species	0.72	The results show that the essential oils of both plant species decrease the minimum inhibitory concentrations of gentamicin and imipenem against multidrug-resistant clinical isolates of the two Gram-negative bacterial species , thereby significantly enhancing antibiotic efficacy .
30200032	the essential oils of both plant species	 decrease	  decrease	the minimum inhibitory concentrations of gentamicin against multidrug-resistant clinical isolates of the two Gram-negative bacterial species	0.71	The results show that the essential oils of both plant species decrease the minimum inhibitory concentrations of gentamicin and imipenem against multidrug-resistant clinical isolates of the two Gram-negative bacterial species , thereby significantly enhancing antibiotic efficacy .
30200041	The observed potent resistance-modifying properties of the essential oils	 favour	  favour	further investigations of the phenylpropanoids as the main components of both oils in this context	0.74	The observed potent resistance-modifying properties of the essential oils favour further investigations of the phenylpropanoids as the main components of both oils and other natural substances in this context .
30200041	The observed potent resistance-modifying properties of the essential oils	 favour	  favour	further investigations of the phenylpropanoids as the main components of both other natural substances in this context	0.57	The observed potent resistance-modifying properties of the essential oils favour further investigations of the phenylpropanoids as the main components of both oils and other natural substances in this context .
30200042	The potent resistance-modifying properties of the essential oils	 suggest	  suggest	further investigation of phenylpropanoids as major components of both oils in this context is promising	0.74	The potent resistance-modifying properties of the essential oils suggest further investigation of phenylpropanoids as major components of both oils and other natural products in this context is promising .
30200042	The potent resistance-modifying properties of the essential oils	 suggest	  suggest	further investigation of phenylpropanoids as major components of both other natural products in this context is promising	0.60	The potent resistance-modifying properties of the essential oils suggest further investigation of phenylpropanoids as major components of both oils and other natural products in this context is promising .
30200042	further investigation of phenylpropanoids as major components of both oils in this context	 is	  be	promising	0.54	The potent resistance-modifying properties of the essential oils suggest further investigation of phenylpropanoids as major components of both oils and other natural products in this context is promising .
30200042	further investigation of phenylpropanoids as major components of both other natural products in this context	 is	  be	promising	0.42	The potent resistance-modifying properties of the essential oils suggest further investigation of phenylpropanoids as major components of both oils and other natural products in this context is promising .
30210001	substances	 are	  be	already available	0.93	Due to lack of reliable therapy and insufficient available vaccines against SARS-CoV-2 , researchers are looking for promising and effective therapy in substances that are already available .
30210001	researchers	 are looking	  be look	for effective therapy in substances	0.43	Due to lack of reliable therapy and insufficient available vaccines against SARS-CoV-2 , researchers are looking for promising and effective therapy in substances that are already available .
30210001	researchers	 are looking	  be look	for promising therapy in substances	0.28	Due to lack of reliable therapy and insufficient available vaccines against SARS-CoV-2 , researchers are looking for promising and effective therapy in substances that are already available .
30210002	research	 is looking	  be look	for promising , effective substances	0.96	Since there is still no reliable therapy and not enough approved vaccines against SARS-CoV-2 , research is looking for promising , effective substances that are already available .
30210002	promising , effective substances	 are	  be	already available	0.94	Since there is still no reliable therapy and not enough approved vaccines against SARS-CoV-2 , research is looking for promising , effective substances that are already available .
30210011	The objective of the current study	 is	  be	to investigate whether the herbal preparation Cystus Pandalis® ( CPE ) has in vitro antiviral properties against SARS-CoV-2	0.98	The objective of the current study is to investigate whether the herbal preparation Cystus Pandalis® ( CPE ) has in vitro antiviral properties against SARS-CoV-2 .
30210011	the herbal preparation	 has	  have	in vitro antiviral properties	0.67	The objective of the current study is to investigate whether the herbal preparation Cystus Pandalis® ( CPE ) has in vitro antiviral properties against SARS-CoV-2 .
30210012	This study	 will investigate	  will investigate	whether the herbal preparation Cystus Pandalis® has in vitro antiviral properties against SARS-CoV-2	0.96	This study will investigate whether the herbal preparation Cystus Pandalis® has in vitro antiviral properties against SARS-CoV-2 , as it has already been shown to be effective against several other viruses .
30210012	the herbal preparation	 has	  have	in vitro antiviral properties against SARS-CoV-2	0.94	This study will investigate whether the herbal preparation Cystus Pandalis® has in vitro antiviral properties against SARS-CoV-2 , as it has already been shown to be effective against several other viruses .
30210012	it	 to be	  to be	antiviral properties against SARS-CoV-2 effective against several other viruses	0.20	This study will investigate whether the herbal preparation Cystus Pandalis® has in vitro antiviral properties against SARS-CoV-2 , as it has already been shown to be effective against several other viruses .
30210012	it	 has been shown	  have be show	effective against other viruses already	0.15	This study will investigate whether the herbal preparation Cystus Pandalis® has in vitro antiviral properties against SARS-CoV-2 , as it has already been shown to be effective against several other viruses .
30210021	CPE	 to be	  to be	effective against several other viruses	0.95	CPE has already proved to be effective against several other viruses .
30210021	CPE	 has proved	  have prove	already	0.94	CPE has already proved to be effective against several other viruses .
30210022	the reduction in infection rate	 by comparing	  by compare	foci-forming units	0.89	At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures were infected with SARS-CoV-2 using Cystus Pandalis® extract ( CPE ) , and the reduction in infection rate was evaluated by comparing foci-forming units .
30210022	cell cultures	 were infected	  be infect	with SARS-CoV-2 At the Fraunhofer Institute for Cell Therapy	0.74	At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures were infected with SARS-CoV-2 using Cystus Pandalis® extract ( CPE ) , and the reduction in infection rate was evaluated by comparing foci-forming units .
30210022	the reduction in infection rate	 was evaluated	  be evaluate	by comparing foci-forming units At the Fraunhofer Institute for Immunology	0.74	At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures were infected with SARS-CoV-2 using Cystus Pandalis® extract ( CPE ) , and the reduction in infection rate was evaluated by comparing foci-forming units .
30210022	cell cultures	 using	  use	Cystus Pandalis® extract	0.69	At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures were infected with SARS-CoV-2 using Cystus Pandalis® extract ( CPE ) , and the reduction in infection rate was evaluated by comparing foci-forming units .
30210022	cell cultures	 were infected	  be infect	with SARS-CoV-2 using Cystus Pandalis® At the Fraunhofer Institute for Immunology	0.66	At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures were infected with SARS-CoV-2 using Cystus Pandalis® extract ( CPE ) , and the reduction in infection rate was evaluated by comparing foci-forming units .
30210031	cell cultures	 treated	  treat	with Cystus Pandalis® extract	0.91	At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures treated with Cystus Pandalis® extract were infected with SARS-CoV-2 , and the reduction in the infection rate was evaluated by comparing focus-forming units .
30210031	the reduction in the infection rate	 was evaluated	  be evaluate	by comparing focus-forming units At the Fraunhofer Institute for Immunology	0.74	At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures treated with Cystus Pandalis® extract were infected with SARS-CoV-2 , and the reduction in the infection rate was evaluated by comparing focus-forming units .
30210031	the reduction in the infection rate	 was evaluated	  be evaluate	by comparing focus-forming units At the Fraunhofer Institute for Cell Therapy	0.69	At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures treated with Cystus Pandalis® extract were infected with SARS-CoV-2 , and the reduction in the infection rate was evaluated by comparing focus-forming units .
30210031	IZI ) cell cultures treated with Cystus Pandalis® extract	 were infected	  be infect	with SARS-CoV-2 At the Fraunhofer Institute for Immunology	0.55	At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures treated with Cystus Pandalis® extract were infected with SARS-CoV-2 , and the reduction in the infection rate was evaluated by comparing focus-forming units .
30210031	( IZI ) cell cultures treated with Cystus Pandalis® extract	 were infected	  be infect	with SARS-CoV-2 At the Fraunhofer Institute for Cell Therapy	0.51	At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures treated with Cystus Pandalis® extract were infected with SARS-CoV-2 , and the reduction in the infection rate was evaluated by comparing focus-forming units .
30210032	An almost complete reduction in infection rate by CPE	 was observed	  be observe	at concentrations greater than 15.6 µg/ml with a calculated EC50 of 1.94 µg/ml	1.00	An almost complete reduction in infection rate by CPE was observed at concentrations greater than 15.6 µg/ml with a calculated EC50 of 1.94 µg/ml .
30210041	An almost complete reduction in the CPE infection rate	 was observed	  be observe	at concentrations of greater than 15.6 µg/ml with a calculated EC50 ( mean effective concentration ) of 1.94 µg/ml	1.00	An almost complete reduction in the CPE infection rate was observed at concentrations of greater than 15.6 µg/ml with a calculated EC50 ( mean effective concentration ) of 1.94 µg/ml .
30210042	The mechanism of action of this extract	 may be based	  may be base	on the high polymer polyphenols	0.95	The mechanism of action of this extract may be based on the high polymer polyphenols that coat certain viral epitopes , causing CPE to act as an entry inhibitor .
30210042	the high polymer polyphenols	 coat	  coat	certain viral epitopes	0.94	The mechanism of action of this extract may be based on the high polymer polyphenols that coat certain viral epitopes , causing CPE to act as an entry inhibitor .
30210042	CPE	 to act	  to act	as an entry inhibitor	0.92	The mechanism of action of this extract may be based on the high polymer polyphenols that coat certain viral epitopes , causing CPE to act as an entry inhibitor .
30210042	the high polymer polyphenols that ,	 certain viral epitopes causing	  certain viral epitope cause	CPE to act as an entry inhibitor	0.19	The mechanism of action of this extract may be based on the high polymer polyphenols that coat certain viral epitopes , causing CPE to act as an entry inhibitor .
30210051	The mechanism of action of this extract	 may be based	  may be base	on the highly polymeric polyphenols	0.96	The mechanism of action of this extract may be based on the highly polymeric polyphenols that envelop certain viral epitopes , whereby CPE acts as an entry inhibitor .
30210051	CPE	 acts	  act	as an entry inhibitor	0.92	The mechanism of action of this extract may be based on the highly polymeric polyphenols that envelop certain viral epitopes , whereby CPE acts as an entry inhibitor .
30210051	the highly polymeric polyphenols	 envelop	  envelop	certain viral epitopes , whereby CPE acts as an entry inhibitor	0.88	The mechanism of action of this extract may be based on the highly polymeric polyphenols that envelop certain viral epitopes , whereby CPE acts as an entry inhibitor .
30210052	it	 to use	  to use	CPE as prophylaxis against infections with SARS-CoV-2	0.91	Due to the high in vitro activity , it seems reasonable to use CPE as prophylaxis against infections with SARS-CoV-2 .
30210061	The high in vitro activity of CPE	 to make	  to make	it a reasonable candidate for prophylaxis against SARS-CoV-2	0.98	The high in vitro activity of CPE seems to make it a reasonable candidate for prophylaxis against SARS-CoV-2 .
30210061	The high in vitro activity of CPE	 seems	  seem		0.97	The high in vitro activity of CPE seems to make it a reasonable candidate for prophylaxis against SARS-CoV-2 .
30220001	Fruits from Apium graveolens	 are used traditionally	  be use traditionally	in European medicine for the treatment of uncomplicated urinary tract infections	0.60	Fruits from Apium graveolens ( celery ) are used traditionally in Persian and European medicine for the treatment of uncomplicated urinary tract infections .
